"CODGEO","SURF","NOM","X","Y","EMPLOI99","ACTOCC99","P20ANS99","PNDIP99","TXCHOM99","INTAO99","PART99","PCAD99","PINT99","PEMP99","POUV99","PRET99","PMONO99","PREFETR99","RFUCQ201","EMPLOI06","ACTOCC06","P20ANS07","PNDIP07","TXCHOMA07","INTAO07","PART07","PCAD07","PINT07","PEMP07","POUV07","PRET07","PMONO07","PREFETR07","RFUCQ207","REFEROUI","LIBELLE","POP1936","POP1954","POP1962","POP1968","POP1975","POP1982","POP1990","POP1999","POP2008"
92026,481,"COURBEVOIE",5931,24335,80134,34714,22,10,9,1,5,35,27,25,9,14,14,13,22818,92600,43553,23,10,9,1,4,43,26,21,7,13,8,12,26173,67.7,"COURBEVOIE",58638,59730,59491,58118,54488,59830,65389,69694,85054
92032,210,"FONTENAY-AUX-ROSES",5966,24213,7504,11009,23,9,7,1,4,32,27,27,10,16,15,9,21848,7641,11214,24,11,9,1,3,33,28,26,10,17,10,9,24864,59.6,"FONTENAY-AUX-ROSES",7197,8626,20265,23388,25630,23947,23354,23537,24131
92033,283,"GARCHES",5888,24274,6488,8066,25,8,7,1,7,38,26,23,7,14,12,10,27120,6190,8020,28,10,8,1,7,44,23,20,6,16,9,9,31800,72.5,"GARCHES",7474,10450,13244,14217,17998,18094,17957,18036,18157
92035,162,"LA GARENNE-COLOMBES",5937,24345,10229,12009,22,12,8,1,6,27,29,27,11,16,12,11,22069,11203,14213,24,11,7,1,5,38,27,21,9,15,8,9,26635,63.5,"LA GARENNE-COLOMBES",24734,26753,27341,26562,24038,20990,21754,24067,26699
92036,883,"GENNEVILLIERS",5973,24367,30688,16485,28,32,20,2,4,6,21,37,32,13,20,27,10259,31335,16723,29,37,17,2,4,8,22,39,27,15,14,28,12646,26.7,"GENNEVILLIERS",29369,33137,42595,46074,50290,45396,44818,42513,41822
92040,468,"ISSY-LES-MOULINEAUX",5951,24251,37736,26220,22,11,8,1,4,32,26,29,9,14,15,12,22067,45882,31951,23,11,7,1,4,40,26,23,7,14,8,10,26547,63.4,"ISSY-LES-MOULINEAUX",44091,47369,51847,50512,47625,45835,46194,52647,63297
92044,217,"LEVALLOIS-PERRET",5965,24331,50369,26971,21,11,9,1,5,37,24,24,8,14,15,14,23208,56478,31895,23,12,9,1,5,45,24,19,7,14,8,12,27379,67.7,"LEVALLOIS-PERRET",65186,62871,61804,58941,52523,53500,47548,54700,62995
92046,241,"MALAKOFF",5968,24243,13491,13798,23,15,11,1,4,18,28,36,14,16,17,13,17546,14722,14727,24,17,10,1,4,24,28,32,13,16,11,12,20073,43.7,"MALAKOFF",28439,28876,33603,36198,34121,32553,30959,29402,30909
92047,261,"MARNES-LA-COQUETTE",5884,24258,1102,606,25,9,6,1,18,40,18,21,4,16,8,12,32621,1048,676,31,8,11,0,10,50,16,22,3,15,7,6,42923,82,"MARNES-LA-COQUETTE",740,1197,1660,1697,1646,1632,1594,1519,1680
92048,1001,"MEUDON",5923,24237,12476,19162,24,12,9,1,5,32,25,26,11,18,14,9,22194,14873,20049,26,14,9,1,4,34,26,24,11,19,10,11,25755,65,"MEUDON",20749,24729,34878,50623,52806,48450,45339,43663,44706
92049,188,"MONTROUGE",5988,24242,22241,18399,19,12,9,1,4,28,29,29,10,18,15,12,20224,21137,22923,21,10,9,1,4,36,28,24,7,16,8,10,23620,59.7,"MONTROUGE",33260,36298,45260,44922,40304,38517,38106,37733,46682
92050,1227,"NANTERRE",5906,24324,71590,35644,27,21,15,2,3,15,24,39,19,11,19,20,13657,77488,38634,28,24,13,1,3,19,24,36,17,12,13,20,15710,41.7,"NANTERRE",46065,53037,83416,90332,95032,88578,84565,84281,89556
92051,395,"NEUILLY-SUR-SEINE",5951,24322,44304,24214,20,9,9,0,13,49,16,17,4,18,13,13,35188,45521,26180,22,10,9,1,10,51,18,17,4,19,7,11,42304,82.5,"NEUILLY-SUR-SEINE",56938,66095,72773,70995,65983,64170,61768,59848,60341
92060,367,"LE PLESSIS-ROBINSON",5945,24205,10140,10176,26,12,8,1,3,22,28,35,13,15,14,8,19835,12112,11598,24,12,7,1,3,32,28,27,11,16,10,7,24359,52.6,"LE PLESSIS-ROBINSON",7779,13163,18421,22557,22197,21239,21257,21618,24675
92062,328,"PUTEAUX",5928,24319,67291,20102,22,16,11,1,5,31,24,27,12,14,15,17,18122,77248,21659,23,15,10,1,4,35,25,25,11,13,8,17,22180,58.9,"PUTEAUX",43829,41097,39640,37946,35514,36117,42756,40780,44548
92063,1426,"RUEIL-MALMAISON",5894,24303,42680,34285,26,10,8,1,5,34,28,25,9,15,14,9,23822,48432,37008,27,11,7,1,4,40,27,22,7,16,10,8,28448,66.9,"RUEIL-MALMAISON",26796,32212,54786,60804,62727,63412,66401,73469,78112
92064,747,"SAINT-CLOUD",5907,24277,16247,12200,24,8,7,0,9,44,21,21,6,16,12,9,29856,16900,13154,26,9,8,1,7,50,20,18,5,16,8,10,34732,76.9,"SAINT-CLOUD",16595,20668,26472,28158,28139,28561,28597,28157,29772
92071,391,"SCEAUX",5970,24199,5403,7982,23,6,7,1,7,46,23,19,6,19,13,6,28108,5774,7989,26,6,6,1,4,50,24,17,5,21,8,6,32865,72.4,"SCEAUX",8418,10601,19024,19913,19709,18317,18052,19494,19625
92072,373,"SEVRES",5909,24250,9964,10607,26,9,8,1,5,38,25,23,8,14,14,11,24497,10134,11085,27,11,8,1,4,43,25,21,8,15,10,9,29125,69.9,"SEVRES",15501,17109,20129,20083,21149,20208,21990,22534,23122
92073,355,"SURESNES",5917,24302,22737,19098,24,13,9,1,6,31,24,29,10,14,16,12,21186,27299,21476,26,14,9,1,4,37,25,24,9,15,11,13,24969,64.3,"SURESNES",32018,37149,39100,40616,37537,35187,35998,39706,45617
92075,113,"VANVES",5964,24250,7141,12471,21,9,8,1,4,33,26,29,8,17,15,10,21789,7650,13176,23,11,8,1,4,37,28,24,7,17,9,10,25201,63.9,"VANVES",20157,21743,25514,25068,22464,22805,25900,25414,26459
92076,198,"VAUCRESSON",5867,24270,2581,3458,25,8,6,0,10,43,22,20,5,15,9,13,31633,2673,3728,28,9,7,0,9,47,22,16,5,17,7,10,37531,78.9,"VAUCRESSON",2718,4268,6690,8065,9257,8313,8118,8141,8636
92077,347,"VILLE-D'AVRAY",5892,24255,1826,4759,27,8,7,0,7,50,19,19,5,15,10,10,31323,1923,4854,28,8,7,1,6,49,20,20,5,18,8,9,36206,80.8,"VILLE-D'AVRAY",2915,4351,5802,10365,11698,11625,11616,11415,10861
92078,261,"VILLENEUVE-LA-GARENNE",5993,24374,8370,8762,30,27,17,2,4,7,22,40,27,12,21,26,12461,8002,10167,30,28,16,2,4,10,23,38,25,13,15,25,14334,37.1,"VILLENEUVE-LA-GARENNE",4031,4035,13780,22715,23691,23906,23824,22349,24711
93001,457,"AUBERVILLIERS",6033,24349,25734,23895,27,33,23,2,5,6,18,37,33,13,20,39,9751,29341,27452,28,41,21,2,5,7,18,39,30,12,14,40,10702,32.3,"AUBERVILLIERS",55871,58740,70632,73695,72976,67719,67557,63136,74528
93005,1576,"AULNAY-SOUS-BOIS",6112,24378,31908,30102,31,24,17,2,5,11,23,34,28,13,16,25,13075,31857,31348,31,31,16,3,5,11,23,33,28,14,13,24,14701,42.3,"AULNAY-SOUS-BOIS",31763,38534,47507,61521,78137,75996,82314,80021,82188
93006,223,"BAGNOLET",6060,24306,14970,13052,27,24,19,1,6,11,24,35,24,14,19,26,12154,15258,13938,27,28,18,2,5,15,24,34,22,14,13,26,13419,36,"BAGNOLET",28064,26792,31591,34054,35906,32557,32600,32511,33960
93007,756,"LE BLANC-MESNIL",6095,24373,12555,18055,29,27,17,2,5,7,22,36,30,14,17,23,12976,11912,20565,30,34,16,2,5,7,21,39,28,14,14,26,14161,32.2,"LE BLANC-MESNIL",21660,25363,35708,48487,49107,47037,46956,46936,50668
93008,705,"BOBIGNY",6076,24344,25904,16716,30,30,21,2,4,5,19,40,31,11,22,31,10005,27530,17840,32,39,19,2,5,6,18,42,30,11,17,35,11141,27.8,"BOBIGNY",17676,18521,37010,39453,43125,42723,44659,44079,47726
93010,551,"BONDY",6101,24340,11195,18154,28,24,17,2,5,9,23,37,26,14,18,24,12257,13181,20774,30,31,17,2,5,9,24,37,25,14,14,26,13640,36.8,"BONDY",20539,22411,38039,51652,48333,44301,46676,46826,53259
93013,202,"LE BOURGET",6068,24375,7753,5234,23,23,19,2,5,11,25,35,24,15,17,19,13548,8110,5304,26,28,17,3,5,13,25,33,25,16,11,29,13866,42.3,"LE BOURGET",8226,8432,10106,9679,10534,11021,11699,12110,13610
93014,407,"CLICHY-SOUS-BOIS",6149,24343,3799,9029,39,33,23,2,6,6,18,36,35,8,15,43,8448,4873,9532,37,46,21,2,5,6,16,36,37,8,14,46,9404,34.8,"CLICHY-SOUS-BOIS",4066,5105,11606,16357,22422,24654,28180,28288,29127
93015,426,"COUBRON",6176,24353,618,2216,26,11,7,1,9,15,33,31,13,13,6,6,21547,575,2301,26,13,6,1,4,21,32,28,14,18,8,6,24651,45,"COUBRON",747,1039,1236,2179,3385,4296,4784,4612,4676
93027,839,"LA COURNEUVE",6051,24366,13935,11904,32,34,24,2,6,5,18,38,33,11,21,34,8875,13900,12750,33,43,23,3,5,5,17,39,33,11,15,37,9958,30.6,"LA COURNEUVE",17390,18349,25792,43318,37958,33537,34139,35310,36915
93029,752,"DRANCY",6082,24361,13321,25116,26,26,17,2,6,7,22,37,28,16,16,23,13976,13303,26434,28,34,16,2,5,8,22,37,28,16,12,28,14983,27,"DRANCY",42938,50654,65890,68467,64430,60183,60707,62263,66194
93030,441,"DUGNY",6057,24396,1566,3477,32,25,17,3,3,6,21,41,30,10,22,20,12103,2030,4267,32,28,17,2,3,8,24,42,23,11,18,18,13953,28.1,"DUGNY",4267,6932,6185,7860,8094,8451,8361,8641,10483
93031,423,"EPINAY-SUR-SEINE",5975,24400,8812,17538,30,23,19,2,4,9,23,37,26,13,19,25,11245,9830,19380,31,31,17,2,4,8,22,39,26,12,14,30,12267,39.7,"EPINAY-SUR-SEINE",15889,17611,34167,41774,46578,50314,48762,46409,52689
93032,715,"GAGNY",6144,24318,4953,15911,27,17,11,1,5,13,27,34,21,15,15,15,17280,5783,16560,28,19,11,2,5,15,29,34,19,17,11,15,19718,44.5,"GAGNY",13485,17255,29004,35780,36772,34861,36059,36715,38342
93033,117,"GOURNAY-SUR-MARNE",6174,24290,914,2701,24,10,8,1,7,26,30,26,11,18,9,7,23390,1180,2919,25,10,6,1,6,29,33,22,10,21,9,8,27273,54.8,"GOURNAY-SUR-MARNE",1477,2141,3218,3922,4285,4220,5486,5925,6229
93039,525,"L'ILE-SAINT-DENIS",6001,24379,1577,2751,30,26,19,3,3,8,27,37,26,11,23,27,11389,2142,2743,31,31,20,3,4,11,21,39,26,12,19,28,12179,27.4,"L'ILE-SAINT-DENIS",3366,3262,3946,5522,7004,7435,7413,6810,7071
93045,124,"LES LILAS",6063,24314,5285,9088,22,15,14,1,7,19,28,32,14,17,18,15,17169,5645,10056,25,15,13,1,6,25,30,27,13,16,11,14,19623,45.9,"LES LILAS",19467,18590,17721,15817,20054,20354,20118,20226,22157
93046,810,"LIVRY-GARGAN",6134,24358,8183,16462,23,19,10,1,7,13,29,32,20,18,13,13,18061,9113,19026,25,19,9,1,5,14,32,31,19,18,10,14,19759,40.8,"LIVRY-GARGAN",20970,25322,29679,32063,32917,32778,35387,37288,41808
93047,603,"MONTFERMEIL",6160,24329,5705,8807,31,28,18,1,7,9,25,33,26,13,13,25,14228,6866,9638,31,31,17,2,7,10,25,32,27,15,10,26,16024,38.9,"MONTFERMEIL",6196,8271,12019,21063,23237,22926,25556,24121,24457
93048,968,"MONTREUIL",6080,24296,36154,37447,25,26,19,1,5,15,25,33,23,15,20,22,13563,44257,43671,26,28,18,2,4,19,25,31,22,13,13,22,15177,39.4,"MONTREUIL",71791,76239,92207,95698,96587,93368,94754,90674,102176
93049,346,"NEUILLY-PLAISANCE",6121,24292,5059,8391,25,16,10,1,5,17,28,31,19,14,12,14,18914,5502,9456,26,19,10,1,6,22,28,29,16,16,10,13,21797,50.2,"NEUILLY-PLAISANCE",12073,13211,15526,17613,18185,16960,18195,18236,20304
93050,760,"NEUILLY-SUR-MARNE",6144,24290,10635,14832,28,18,13,1,4,11,26,38,21,11,19,15,15843,9811,15345,28,22,12,1,3,12,28,37,20,14,14,14,17621,41.8,"NEUILLY-SUR-MARNE",11224,12798,15082,22543,30168,31195,31461,32754,33198
93051,1482,"NOISY-LE-GRAND",6158,24280,24180,26373,29,18,12,2,5,16,26,33,20,10,15,17,16316,27937,29090,27,21,11,2,4,19,27,32,17,12,12,17,18619,49.2,"NOISY-LE-GRAND",7033,10398,16813,25440,26662,40585,54032,58217,63106
93053,546,"NOISY-LE-SEC",6092,24327,9809,15496,27,22,16,2,5,9,24,36,26,14,19,20,13361,10264,16127,29,27,16,2,4,11,23,37,24,14,14,24,14685,36.9,"NOISY-LE-SEC",22359,22337,31187,34079,37734,36880,36309,37312,38713
93055,567,"PANTIN",6055,24326,23262,20424,26,23,19,2,5,12,24,35,24,13,20,28,11663,27052,22195,27,28,19,2,4,15,24,33,24,13,12,29,12895,39.2,"PANTIN",37716,36963,46292,47607,42739,43553,47303,49919,52698
93057,268,"LES PAVILLONS-SOUS-BOIS",6119,24339,4850,7850,25,17,12,1,8,13,26,33,20,18,14,15,17243,5564,9121,26,20,11,2,6,15,28,33,18,17,11,18,19160,45.5,"LES PAVILLONS-SOUS-BOIS",15175,16862,19022,19084,18638,17185,17375,18420,20721
