"CODGEO","SURF","NOM","X","Y","EMPLOI99","ACTOCC99","P20ANS99","PNDIP99","TXCHOM99","INTAO99","PART99","PCAD99","PINT99","PEMP99","POUV99","PRET99","PMONO99","PREFETR99","RFUCQ201","EMPLOI06","ACTOCC06","P20ANS07","PNDIP07","TXCHOMA07","INTAO07","PART07","PCAD07","PINT07","PEMP07","POUV07","PRET07","PMONO07","PREFETR07","RFUCQ207","REFEROUI","LIBELLE","POP1936","POP1954","POP1962","POP1968","POP1975","POP1982","POP1990","POP1999","POP2008"
94017,1187,"CHAMPIGNY-SUR-MARNE",6125,24244,16073,30789,27,22,15,1,6,12,24,34,25,14,17,20,14933,18517,32308,28,26,14,2,4,15,25,34,22,15,12,20,16951,39.5,"CHAMPIGNY-SUR-MARNE",28866,36903,57876,70419,80291,76176,79486,74237,75142
94018,228,"CHARENTON-LE-PONT",6050,24250,12000,12749,22,10,9,1,6,30,28,27,10,16,16,9,21510,14644,14233,23,10,8,1,5,35,29,24,7,16,9,8,24885,61.7,"CHARENTON-LE-PONT",20946,22079,22530,22300,20468,20500,21872,26582,28571
94019,501,"CHENNEVIERES-SUR-MARNE",6140,24225,6232,7974,26,17,12,1,5,17,27,32,19,13,14,17,17703,6508,8002,26,22,10,1,6,17,26,32,19,16,10,17,19443,52.4,"CHENNEVIERES-SUR-MARNE",3024,4032,5593,7016,17561,17417,17857,17837,17698
94021,503,"CHEVILLY-LARUE",6012,24192,5403,8363,26,18,11,1,5,13,29,35,18,14,16,11,17401,5529,8392,27,20,11,1,4,16,27,36,18,17,12,12,19392,44.5,"CHEVILLY-LARUE",3332,3861,11458,16168,17687,16026,16223,18149,19042
94022,615,"CHOISY-LE-ROI",6052,24184,9821,15011,24,21,14,1,4,11,26,34,24,16,16,19,15769,9984,16511,26,25,13,2,4,14,27,33,23,15,12,20,17253,40.3,"CHOISY-LE-ROI",28666,32025,41522,41440,38705,35476,34068,34336,38153
94028,1089,"CRETEIL",6090,24216,49004,35840,28,15,12,1,4,16,27,38,15,11,20,14,15545,53055,38869,28,20,13,1,4,16,26,38,16,13,15,15,16880,45.3,"CRETEIL",11755,13793,30403,49197,59023,71693,82088,82154,89304
94033,559,"FONTENAY-SOUS-BOIS",6097,24278,21096,22422,25,15,13,1,5,21,26,33,15,15,17,13,18027,24183,23708,26,16,11,1,4,25,27,31,13,16,12,13,20334,48.6,"FONTENAY-SOUS-BOIS",31546,36739,37484,38962,46475,52627,51868,50921,52848
94034,381,"FRESNES",5988,24176,7067,10926,24,12,9,1,3,17,28,37,15,14,18,9,18616,7274,11232,23,18,8,1,2,20,30,34,14,15,12,9,21075,49.5,"FRESNES",6023,7750,21527,26847,28539,25902,26959,25213,25043
94037,106,"GENTILLY",6002,24241,7988,7137,24,18,15,1,4,19,23,36,17,15,21,16,15274,9162,7598,25,21,15,1,3,21,25,33,17,16,13,18,16614,39.1,"GENTILLY",18172,17497,19211,18812,17026,16732,17093,16118,17362
94038,343,"L'HAY-LES-ROSES",6000,24198,5118,13080,25,13,10,1,4,22,28,30,15,17,16,10,19417,5583,13375,26,18,10,1,3,24,28,30,15,19,11,12,21451,55.1,"L'HAY-LES-ROSES",7707,10278,17968,24352,31412,29568,29746,29660,29496
94041,668,"IVRY-SUR-SEINE",6036,24242,25895,21381,23,21,15,1,5,15,23,35,22,17,19,22,13838,31357,24219,24,26,14,2,5,17,25,34,20,15,11,24,15325,36.2,"IVRY-SUR-SEINE",45882,48798,54731,60455,62856,55699,53619,50972,56679
94042,230,"JOINVILLE-LE-PONT",6101,24250,4228,7748,22,13,10,1,7,25,28,28,13,19,15,12,20125,4500,7964,23,13,10,1,5,28,28,28,11,19,9,11,23475,57,"JOINVILLE-LE-PONT",14151,15657,17797,17467,17608,16934,16657,17117,17368
94043,196,"LE KREMLIN-BICETRE",6014,24236,10239,11710,22,13,9,1,4,22,28,34,12,12,16,14,17847,11639,12352,23,16,11,1,4,25,26,33,12,13,9,16,19859,49.9,"LE KREMLIN-BICETRE",17038,15618,18834,20798,20061,17543,19348,23724,26104
94044,747,"LIMEIL-BREVANNES",6104,24165,5576,7782,28,16,10,1,5,12,28,36,20,15,16,12,17347,5653,8777,28,16,9,1,4,15,28,36,17,15,12,12,19238,42.8,"LIMEIL-BREVANNES",5865,7547,8377,11456,16496,16566,16070,17529,18768
94046,546,"MAISONS-ALFORT",6073,24231,15199,23689,22,13,9,1,5,18,28,35,14,17,15,10,18786,16764,25808,22,14,9,1,4,24,30,29,13,18,9,9,21726,51.5,"MAISONS-ALFORT",34384,40358,51186,53149,54146,51065,53375,51103,52852
94047,301,"MANDRES-LES-ROSES",6151,24114,1095,1946,27,13,7,0,6,19,31,26,16,14,8,6,21849,1252,2058,26,17,6,1,4,21,34,25,14,17,7,8,25070,50.2,"MANDRES-LES-ROSES",1117,1276,1403,1496,1896,2386,3703,4117,4342
94048,459,"MAROLLES-EN-BRIE",6158,24150,925,2436,35,6,6,1,7,32,29,22,10,6,9,4,24947,1070,2620,30,7,6,1,8,32,31,20,9,10,9,4,29240,65,"MAROLLES-EN-BRIE",276,311,309,493,501,1501,4606,5191,5057
94052,231,"NOGENT-SUR-MARNE",6107,24266,7988,13086,22,9,9,1,7,35,26,24,8,18,13,9,23849,8233,14905,23,9,8,1,6,40,26,21,7,17,9,9,27978,67.8,"NOGENT-SUR-MARNE",21056,23581,24501,26238,25634,24630,25248,28191,30852
94053,326,"NOISEAU",6157,24198,723,1930,27,10,7,0,7,20,37,26,11,14,8,8,21807,812,2083,27,10,6,1,8,18,39,23,12,16,10,7,24715,53.3,"NOISEAU",458,799,1096,1175,1809,2667,2831,3971,4426
94054,698,"ORLY",6049,24164,28735,7624,29,30,19,2,4,7,22,37,30,15,22,20,13400,26932,8723,28,31,18,2,3,9,23,38,26,16,14,19,15213,31.2,"ORLY",5941,7386,17637,30197,26104,23766,21646,20470,20940
94055,412,"ORMESSON-SUR-MARNE",6148,24212,2200,4338,23,17,9,1,11,18,26,25,20,18,7,23,20904,2270,4463,25,20,7,1,8,20,25,30,18,19,7,18,24450,58.2,"ORMESSON-SUR-MARNE",3802,5252,6702,8277,8698,8674,10038,9793,9878
94056,320,"PERIGNY",6158,24108,332,1014,27,8,6,1,7,23,38,21,9,12,10,7,23136,316,1096,28,9,6,1,5,24,37,22,12,14,11,4,26711,57.9,"PERIGNY",380,382,379,437,1011,1673,1681,2020,2229
94058,413,"LE PERREUX-SUR-MARNE",6123,24269,5626,13947,23,11,9,1,7,25,30,26,11,18,13,11,21779,5967,15350,24,12,8,1,6,31,29,24,10,18,9,12,25968,62.4,"LE PERREUX-SUR-MARNE",23553,26745,27900,29099,28333,27647,28477,30080,32250
94059,487,"LE PLESSIS-TREVISE",6168,24238,3013,7837,25,15,10,1,7,18,29,29,17,14,12,13,19493,3595,8484,26,15,8,1,5,21,29,30,14,16,12,13,22543,52.9,"LE PLESSIS-TREVISE",1391,2426,5180,8392,12991,13565,14583,16656,18503
94060,981,"LA QUEUE-EN-BRIE",6177,24209,2526,5096,29,14,10,1,5,16,28,32,18,9,12,12,18840,2823,5250,30,18,9,1,5,17,30,31,17,13,11,12,20853,48.7,"LA QUEUE-EN-BRIE",481,771,996,3009,7140,9722,9897,10852,11439
94065,313,"RUNGIS",6010,24165,25031,2732,32,8,6,1,5,26,32,25,12,8,13,5,23109,26781,2958,29,9,6,1,6,25,32,27,9,11,10,6,26169,57.5,"RUNGIS",518,690,1851,2686,2986,2649,2939,5424,5618
94067,136,"SAINT-MANDE",6059,24272,7506,8859,21,9,8,1,7,39,25,22,6,19,13,9,25547,7723,10245,24,11,8,0,7,41,27,19,5,17,9,8,30274,71.2,"SAINT-MANDE",22253,24522,24325,23044,20968,18673,18684,19697,22518
94068,1164,"SAINT-MAUR-DES-FOSSES",6123,24223,21559,32844,21,11,9,1,8,28,27,25,11,20,12,10,22920,22578,34411,23,11,8,1,6,34,29,22,9,21,8,10,26961,64.8,"SAINT-MAUR-DES-FOSSES",56740,64387,70397,77251,80920,80811,77206,73069,75724
94069,256,"SAINT-MAURICE",6064,24246,5273,6244,24,10,9,1,6,27,30,27,9,13,16,10,21298,6118,7447,25,10,10,1,5,33,28,24,9,13,9,9,24018,62.5,"SAINT-MAURICE",11324,11134,10344,10477,9221,9420,11157,12748,14558
